canonical_name,entity_type,unique_papers,total_rows,variant_count,is_singleton,normalization_issue,raw_variants
Amortized models,Unknown,1,1,1,True,False,Amortized models
Attack-aware noise calibration,Unknown,1,2,2,True,False,Attack-aware noise calibration | attack-aware noise calibration
Attention mechanism,Architecture,1,2,2,True,False,Attention mechanism | attention mechanism
Attractor network,Unknown,1,1,1,True,False,Attractor network
AutoDiff,Unknown,1,1,1,True,False,AutoDiff
Autoencoders,Unknown,1,1,1,True,False,Autoencoders
Autoregressive image diffusion model,Architecture,1,1,1,True,False,Autoregressive image diffusion model
BERT,Model,1,1,1,True,False,BERT
BM25,Unknown,1,1,1,True,False,BM25
Backpropagation,Unknown,1,2,2,True,False,Backpropagation | backpropagation
Bayesian approach for learning causal graphs with limited interventional samples,Technique,1,1,1,True,False,Bayesian approach for learning causal graphs with limited interventional samples
Bayesian ensemble,Unknown,1,1,1,True,False,Bayesian ensemble
Bayesian ensemble interpretation of neural networks,Unknown,1,1,1,True,False,Bayesian ensemble interpretation of neural networks
Bayesian optimization,Unknown,1,1,1,True,False,Bayesian optimization
Binary relevance surrogate,Unknown,1,1,1,True,False,Binary relevance surrogate
Blender,Unknown,1,1,1,True,False,Blender
Blind-prediction framework,Tool,1,1,1,True,False,Blind-prediction framework
CASP,Unknown,1,1,1,True,False,CASP
CIPHER,Unknown,1,1,1,True,False,CIPHER
CLA2,Unknown,1,1,1,True,False,CLA2
CLA3,Unknown,1,1,1,True,False,CLA3
CLA4,Unknown,1,1,1,True,False,CLA4
COGEX,Unknown,1,1,1,True,False,COGEX
COMET,Unknown,1,1,1,True,False,COMET
COMET metric,Metric,1,1,1,True,False,COMET metric
Causal backdoor adjustment,Unknown,1,1,1,True,False,Causal backdoor adjustment
Chain-of-Thought prompting,Unknown,1,1,1,True,False,Chain-of-Thought prompting
Chat Models,Unknown,1,1,1,True,False,Chat Models
Class-balanced mixture method,Unknown,1,1,1,True,False,Class-balanced mixture method
Claude Sonnet 3.5,Unknown,1,1,1,True,False,Claude Sonnet 3.5
Clustering,Unknown,1,1,1,True,False,Clustering
CodeLlama,Unknown,1,1,1,True,False,CodeLlama
Comp-sum losses,Unknown,1,2,2,True,False,Comp-sum losses | comp-sum losses
Compositional inference framework over semirings,Tool,1,1,1,True,False,Compositional inference framework over semirings
Computational geometry tools,Unknown,1,1,1,True,False,Computational geometry tools
Computer-aided synthesis planning,Unknown,1,2,2,True,False,Computer-aided synthesis planning | computer-aided synthesis planning
Conditional value at risk,Unknown,1,1,1,True,False,Conditional value at risk
Conjunctive vector-binding operation,Unknown,1,1,1,True,False,Conjunctive vector-binding operation
Conservation law for feature reuse and sparsity,Unknown,1,1,1,True,False,Conservation law for feature reuse and sparsity
Consistency Models,Unknown,1,1,1,True,False,Consistency Models
Constrained diffusion models,Architecture,1,1,1,True,False,constrained diffusion models
Constrained losses,Unknown,1,2,2,True,False,Constrained losses | constrained losses
Contextual Sparsity,Unknown,1,1,1,True,False,Contextual Sparsity
Continual learning,Technique,1,1,1,True,False,Continual learning
Convergent cross mapping,Unknown,1,1,1,True,False,Convergent cross mapping
Convolutional neural networks,Unknown,1,1,1,True,False,Convolutional neural networks
Coordinate mirror descent,Unknown,1,2,2,True,False,Coordinate mirror descent | coordinate mirror descent
Cost-robust contracts,Unknown,1,2,2,True,False,Cost-robust contracts | cost-robust contracts
Counterfactual Clamping Attack,Unknown,1,1,1,True,False,Counterfactual Clamping Attack
Cross-Layer Attention,Unknown,1,1,1,True,False,Cross-Layer Attention
Cryptographic techniques,Unknown,1,2,2,True,False,Cryptographic techniques | cryptographic techniques
Cryptographic transformer circuits,Architecture,1,2,2,True,False,Cryptographic transformer circuits | cryptographic transformer circuits
Custom kernel for per-example gradient norms,Unknown,1,2,2,True,False,Custom kernel to compute per-example gradient norms | custom kernel for per-example gradient norms
DALL-E 3,Unknown,1,1,1,True,False,DALL-E 3
DDIM,Unknown,1,1,1,True,False,DDIM
DESP,Unknown,1,1,1,True,False,DESP
Data valuation,Unknown,1,1,1,True,False,Data valuation
Deep Reinforcement Learning,Technique,1,2,2,True,False,Deep RL | Deep reinforcement learning
Deep learning,Technique,1,1,1,True,False,Deep learning
Deep linear models,Unknown,1,1,1,True,False,Deep linear models
Diagonal linear networks,Unknown,1,2,2,True,False,Diagonal linear networks | diagonal linear networks
Difference-in-means,Unknown,1,2,2,True,False,Difference-in-means | difference-in-means
Difference-in-means direction,Unknown,1,1,1,True,False,Difference-in-means direction
Differentiable training objective for error control,Technique,1,1,1,True,False,Differentiable training objective for error control
Differential privacy,Unknown,1,2,2,True,False,Differential privacy | differential privacy
Dimensionality reduction,Unknown,1,1,1,True,False,Dimensionality reduction
Direct feature attribution,Unknown,1,2,2,True,False,Direct feature attribution | direct feature attribution
Directional ablation,Unknown,1,2,2,True,False,Directional ablation | directional ablation
Disagreement upper bound,Unknown,1,1,1,True,False,Disagreement upper bound
Discrimination objective,Unknown,1,1,1,True,False,Discrimination objective
Distributed Lion,Unknown,1,1,1,True,False,Distributed Lion
Document retriever,Unknown,1,1,1,True,False,Document retriever
Double-Ended Synthesis Planning,Unknown,1,1,1,True,False,Double-Ended Synthesis Planning
E2GN2,Unknown,1,1,1,True,False,E2GN2
Efficient Method of Moments,Unknown,1,1,1,True,False,Efficient Method of Moments
Empirical risk minimization,Unknown,1,2,2,True,False,Empirical Risk Minimization | Empirical risk minimization
Energy score,Metric,1,1,1,True,False,Energy score
Ensembling,Unknown,1,2,2,True,False,Ensembling | ensembling
Equivariant Graph Neural Networks,Architecture,1,1,1,True,False,Equivariant Graph Neural Networks
Event-based Graph Spatiotemporal Sensitive Transformer,Architecture,1,1,1,True,False,Event-based Graph Spatiotemporal Sensitive Transformer
Execution graph,Unknown,1,1,1,True,False,Execution graph
Exploration-enhanced Equivariant Graph Neural Networks,Architecture,1,1,1,True,False,Exploration-enhanced Equivariant Graph Neural Networks
Explore-then-exploit,Unknown,1,1,1,True,False,Explore-then-exploit
Face feature fusion,Unknown,1,1,1,True,False,Face feature fusion
Face recognition,Unknown,1,1,1,True,False,Face recognition
Factor Relaxation with Latent Coupling,Unknown,1,2,2,True,False,FRLC | Factor Relaxation with Latent Coupling
FactorizePhys,Unknown,1,1,1,True,False,FactorizePhys
Factorized Self-Attention Module,Architecture,1,1,1,True,False,Factorized Self-Attention Module
FastMRI dataset,Dataset,1,1,1,True,False,FastMRI dataset
Feature attribution,Unknown,1,1,1,True,False,Feature attribution
Fine-grained non-asymptotic analysis,Unknown,1,1,1,True,False,Fine-grained non-asymptotic analysis
Fine-tuning,Unknown,1,1,1,True,False,Fine-tuning
Fixed-point forward gradients training,Technique,1,1,1,True,False,Fixed-point forward gradients training
Flow equations via a stochastic-process approach,Unknown,1,1,1,True,False,Flow equations via a stochastic-process approach
Foreground subject segmentation,Unknown,1,1,1,True,False,Foreground subject segmentation
Forward gradients,Unknown,1,1,1,True,False,Forward gradients
Fractal dimension,Unknown,1,2,2,True,False,Fractal dimension | fractal dimension
Framework for discovering continuous and discrete symmetry beyond the affine transformation group,Tool,1,1,1,True,False,Framework for discovering continuous and discrete symmetry beyond the affine transformation group
Fused Gromov-Wasserstein,Unknown,1,1,1,True,False,Fused Gromov-Wasserstein
GATs,Unknown,1,1,1,True,False,GATs
GPT,Model,1,1,1,True,False,GPT
GPT-4,Model,1,1,1,True,False,GPT-4
GPT-4o,Unknown,1,1,1,True,False,GPT-4o
GPT-4v,Unknown,1,1,1,True,False,GPT-4v
GPT-Index,Unknown,1,1,1,True,False,GPT-Index
GRU,Architecture,1,1,1,True,False,GRU
Gauss-Newton matrix,Unknown,1,1,1,True,False,Gauss-Newton matrix
Gaussian Processes,Unknown,1,1,1,True,False,Gaussian Processes
Gaussian kernel ridge regression,Unknown,1,1,1,True,False,Gaussian kernel ridge regression
Gaussian universality ansatz,Unknown,1,1,1,True,False,Gaussian universality ansatz
Gemini,Model,1,1,1,True,False,Gemini
Gemini Ultra 1.5,Unknown,1,1,1,True,False,Gemini Ultra 1.5
Generalized Method of Moments,Unknown,1,2,2,True,False,Generalized Method of Moments | generalized method of moments
Google Muse,Unknown,1,1,1,True,False,Google Muse
Google Parti,Unknown,1,1,1,True,False,Google Parti
Gorilla,Model,1,1,1,True,False,Gorilla
Gradient noise scale,Unknown,1,1,1,True,False,Gradient noise scale
Gradient-boosted decision trees,Unknown,1,2,2,True,False,Gradient-boosted decision trees | gradient-boosted decision trees
Gradual stacking,Unknown,1,1,1,True,False,Gradual stacking
Graph Attention Networks,Unknown,1,1,1,True,False,Graph Attention Networks
Graph convolutional network,Unknown,1,2,2,True,False,Graph convolutional network | graph convolutional network
Graph neural networks,Architecture,1,1,1,True,False,Graph neural networks
Graph-based post-processing algorithm,Unknown,1,1,1,True,False,Graph-based post-processing algorithm
Greedy Capture,Algorithm,1,1,1,True,False,Greedy Capture
Gromov-Wasserstein,Unknown,1,1,1,True,False,Gromov-Wasserstein
Grouped-Query Attention,Unknown,1,1,1,True,False,Grouped-Query Attention
H3 architecture,Unknown,1,2,2,True,False,H3 | H3 architecture
Hamming loss,Unknown,1,1,1,True,False,Hamming loss
Hybrid system combining LLMs and rule-based reasoning,Unknown,1,2,2,True,False,Hybrid system combining LLMs and rule-based reasoning | hybrid system combining LLMs and rule-based reasoning
Imagination-searching-criticizing framework,Tool,1,2,2,True,False,Imagination-searching-criticizing framework | imagination-searching-criticizing framework
Immiscible Diffusion,Unknown,1,1,1,True,False,Immiscible Diffusion
Implicit bias analysis of deep linear models,Unknown,1,1,1,True,False,Implicit bias analysis of deep linear models
In-context prompting,Unknown,1,2,2,True,False,In-context prompting | in-context prompting
Inference attacks,Unknown,1,1,1,True,False,Inference attacks
Input pre-processing technique,Unknown,1,2,2,True,False,Input pre-processing technique | input pre-processing technique
Input space margins,Unknown,1,2,2,True,False,Input space margins | input space margin
Iterative self-reflection feedback loop,Unknown,1,2,2,True,False,Feedback loop for iterative self-reflection | iterative self-reflection feedback loop
Iteratively reweighted least squares,Unknown,1,1,1,True,False,Iteratively reweighted least squares
Iteratively reweighted least squares variant,Unknown,1,1,1,True,False,Iteratively reweighted least squares variant
JB-CO-Task,Unknown,1,1,1,True,False,JB-CO-Task
JB-CO-Text,Unknown,1,1,1,True,False,JB-CO-Text
JB-MisGen,Unknown,1,1,1,True,False,JB-MisGen
Joint Embedding Predictive Architectures,Unknown,1,1,1,True,False,Joint Embedding Predictive Architectures
Kullback-Leibler divergence,Unknown,1,1,1,True,False,Kullback-Leibler divergence
LACIE,Unknown,1,1,1,True,False,LACIE
LACIE listener-aware finetuning method,Unknown,1,1,1,True,False,LACIE listener-aware finetuning method
LLaMA-7B,Unknown,1,1,1,True,False,LLaMA-7B
LSTM,Architecture,1,1,1,True,False,LSTM
Label-specific representation learning,Technique,1,1,1,True,False,Label-specific representation learning
Latent Preference Induction,Unknown,1,1,1,True,False,Latent Preference Induction
Latent coupling factorization,Unknown,1,2,2,True,False,Latent coupling factorization | latent coupling factorization
Latent diffusion models,Architecture,1,1,1,True,False,latent diffusion models
Latent variable graphical models,Unknown,1,2,2,True,False,Latent variable graphical models | latent variable graphical model
Latent variable models,Unknown,1,1,1,True,False,Latent variable models
LayerNorm,Unknown,1,1,1,True,False,LayerNorm
Learnability-based training,Technique,1,1,1,True,False,Learnability-based training
Learning from AI Feedback,Technique,1,2,2,True,False,Learning from AI Feedback | Learning from AI feedback
Least-squares estimation,Unknown,1,2,2,True,False,Least-squares estimation | least-squares estimation
Levenshtein edit distance,Unknown,1,1,1,True,False,Levenshtein edit distance
LieGAN,Unknown,1,1,1,True,False,LieGAN
Linear Vision Transformer,Architecture,1,1,1,True,False,Linear Vision Transformer
Linear attention,Unknown,1,2,2,True,False,Linear attention | linear attention
Linear regression decoder,Unknown,1,1,1,True,False,Linear regression decoder
Lion optimizer,Optimizer,1,1,1,True,False,Lion optimizer
Listener-aware finetuning,Unknown,1,1,1,True,False,Listener-aware finetuning
Llama3-70B,Unknown,1,1,1,True,False,Llama3-70B
Llama3-8B,Unknown,1,1,1,True,False,Llama3-8B
Llava 1.5,Unknown,1,1,1,True,False,Llava 1.5
LoRA,Unknown,1,1,1,True,False,LoRA
Logit margins,Unknown,1,2,2,True,False,Logit margins | logit margin
Looped models,Unknown,1,1,1,True,False,Looped models
Loss upweighting,Unknown,1,2,2,True,False,Loss upweighting | loss upweighting
MIDAS,Unknown,1,1,1,True,False,MIDAS
MPE,Unknown,1,1,1,True,False,MPE
MPNET,Unknown,1,1,1,True,False,MPNET
MPR optimization algorithms,Unknown,1,1,1,True,False,MPR optimization algorithms
MRI reconstruction,Unknown,1,1,1,True,False,MRI reconstruction
Machine unlearning,Unknown,1,1,1,True,False,Machine unlearning
Majority vote aggregation,Unknown,1,2,2,True,False,Majority vote aggregation | majority vote aggregation
Margin consistency,Unknown,1,2,2,True,False,Margin consistency | margin consistency
Marginal MAP,Unknown,1,1,1,True,False,Marginal MAP
Masked Auto Encoder,Unknown,1,1,1,True,False,Masked Auto Encoder
Matrix completion for MBR approximation,Unknown,1,1,1,True,False,Matrix completion for MBR approximation
Matrix completion for MBR decoding,Unknown,1,1,1,True,False,Matrix completion for MBR decoding
Mechanistic analysis of grokking and algorithmic shifts in skill composition,Unknown,1,1,1,True,False,Mechanistic analysis of grokking and algorithmic shifts in skill composition
Mechanistic explanation for SFT vs LAIF,Unknown,1,1,1,True,False,Mechanistic explanation for SFT vs LAIF
Memory footprint reduction algorithms,Unknown,1,1,1,True,False,Memory footprint reduction algorithms
Method for learning group actions on the latent space,Technique,1,1,1,True,False,Method for learning group actions on the latent space
Mini-batch upsampling,Unknown,1,2,2,True,False,Mini-batch upsampling | mini-batch upsampling
Minimum Bayes Risk decoding,Unknown,1,2,2,True,False,Minimum Bayes Risk (MBR) decoding | Minimum Bayes Risk decoding
Mistral-7B,Unknown,1,1,1,True,False,Mistral-7B
Modular Regression,Unknown,1,1,1,True,False,Modular Regression
Moment Matching Distillation,Unknown,1,1,1,True,False,Moment Matching Distillation
Multi-Group Proportional Representation,Unknown,1,2,2,True,False,Multi-Group Proportional Representation | Multi-Group Proportional Representation (MPR)
Multi-Head Attention,Architecture,1,1,1,True,False,Multi-Head Attention
Multi-Query Attention,Unknown,1,1,1,True,False,Multi-Query Attention
Multi-label comp-sum losses,Unknown,1,2,2,True,False,Multi-label comp-sum losses | multi-label comp-sum losses
Multi-label constrained losses,Unknown,1,2,2,True,False,Multi-label constrained losses | multi-label constrained losses
Multi-label logistic loss,Unknown,1,2,2,True,False,Multi-label logistic loss | multi-label logistic loss
Multi-task learning,Technique,1,2,2,True,False,Multi-task learning | multi-task learning
Multiclass extension of the exponential tail property,Unknown,1,2,2,True,False,Multiclass extension of the exponential tail property | multiclass extension of the exponential tail property
Multilayer perceptrons,Unknown,1,1,1,True,False,Multilayer perceptrons
Mutual information estimation,Unknown,1,1,1,True,False,Mutual information estimation
NAO,Unknown,1,1,1,True,False,NAO
Named Entity Recognition,Unknown,1,1,1,True,False,NER
Neural Embeddings Rank,Unknown,1,1,1,True,False,Neural Embeddings Rank
Neural operators,Unknown,1,1,1,True,False,Neural operators
Neural polarization law,Unknown,1,2,2,True,False,Neural polarization law | neural polarization law
Neural tangent experts,Unknown,1,2,2,True,False,Neural tangent experts | neural tangent experts
NeuralSteiner,Unknown,1,1,1,True,False,NeuralSteiner
Next-token prediction,Unknown,1,1,1,True,False,Next-token prediction
Non-asymptotic convergence rates,Unknown,1,2,2,True,False,Non-asymptotic convergence rates | non-asymptotic convergence rates
Non-convex rank minimization,Unknown,1,1,1,True,False,Non-convex rank minimization
Non-linear perceptron,Unknown,1,1,1,True,False,Non-linear perceptron
Nonlinear Modeling Error matrix,Unknown,1,1,1,True,False,Nonlinear Modeling Error matrix
Nonlocal Attention Operator,Unknown,1,1,1,True,False,Nonlocal Attention Operator
Nonnegative matrix factorization,Unknown,1,2,2,True,False,Nonnegative matrix factorization | nonnegative matrix factorization
Normalizing flows,Architecture,1,1,1,True,False,Normalizing flows
Normalizing flows based mutual information estimators,Architecture,1,1,1,True,False,Normalizing flows based mutual information estimators
Normative model for spatial representation using residue number system,Unknown,1,1,1,True,False,Normative model for spatial representation using residue number system
OPTO,Unknown,1,1,1,True,False,OPTO
Oja's rule,Unknown,1,1,1,True,False,Oja's rule
Online Gradient Descent,Unknown,1,1,1,True,False,Online Gradient Descent
Optimal composite hypothesis tests,Unknown,1,1,1,True,False,Optimal composite hypothesis tests
Optimization with Trace Oracle,Unknown,1,1,1,True,False,Optimization with Trace Oracle
OptoPrime,Unknown,1,1,1,True,False,OptoPrime
Orthogonal convolutions,Unknown,1,2,2,True,False,Orthogonal convolutions | orthogonal convolutions
Orthogonal finetuning,Unknown,1,2,2,True,False,Orthogonal finetuning | orthogonal finetuning
Output-sensitive algorithm,Unknown,1,1,1,True,False,Output-sensitive algorithm
PAC-Bayes bound for multiple errors,Unknown,1,1,1,True,False,PAC-Bayes bound for multiple errors
PAC-Bayes generalisation bounds,Unknown,1,1,1,True,False,PAC-Bayes generalisation bounds
PRELUDE,Unknown,1,1,1,True,False,PRELUDE
Pareto front tracing algorithm,Unknown,1,1,1,True,False,Pareto front tracing algorithm
Partially observable Markov decision processes,Unknown,1,2,2,True,False,POMDP | Partially observable Markov decision processes
Pay-for-performance contract framework,Tool,1,1,1,True,False,Pay-for-performance contract framework
Permutation Equivariant and Relative Margin-based losses,Unknown,1,2,2,True,False,PERM losses | Permutation Equivariant and Relative Margin-based losses
Persistent homology dimension,Unknown,1,2,2,True,False,Persistent homology dimension | persistent homology dimension
Polynomial-time algorithm for fixed centers,Unknown,1,1,1,True,False,Polynomial-time algorithm for fixed centers
Pooling,Unknown,1,1,1,True,False,Pooling
Pre-computed features,Unknown,1,1,1,True,False,Pre-computed features
Preconditioned gradient descent,Unknown,1,2,2,True,False,Preconditioned gradient descent | preconditioned gradient descent
Preference optimization,Unknown,1,1,1,True,False,Preference optimization
Pretrained models,Unknown,1,1,1,True,False,Pretrained models
Pretraining,Unknown,1,1,1,True,False,Pretraining
Pretraining and finetuning,Unknown,1,2,2,True,False,Pretraining and finetuning | pretraining and finetuning
Probabilistic Context-free Grammars,Unknown,1,1,1,True,False,Probabilistic Context-free Grammars
Probabilistic answer set programming inference,Unknown,1,1,1,True,False,Probabilistic answer set programming inference
Process Reward Model,Unknown,1,1,1,True,False,Process Reward Model
Proximal Policy Optimization,Unknown,1,1,1,True,False,Proximal Policy Optimization
Proxy-based sparse expert selection and pooling,Unknown,1,1,1,True,False,Proxy-based sparse expert selection and pooling
ProxyFusion,Unknown,1,1,1,True,False,ProxyFusion
Pseudo-margin,Unknown,1,2,2,True,False,Pseudo-margin | pseudo-margin
PyTorch,Framework,1,1,1,True,False,PyTorch
QB-Vine,Unknown,1,1,1,True,False,QB-Vine
Quantized training,Technique,1,2,2,True,False,Quantized training | quantized training
Quasi-Bayesian Vine,Unknown,1,1,1,True,False,Quasi-Bayesian Vine
Quasi-Bayesian methods,Unknown,1,1,1,True,False,Quasi-Bayesian methods
RL-based centralized dynamic planning framework,Tool,1,1,1,True,False,RL-based centralized dynamic planning framework
RMSNorm,Unknown,1,1,1,True,False,RMSNorm
Ratio Matching,Unknown,1,1,1,True,False,Ratio Matching
ReLU networks,Unknown,1,1,1,True,False,ReLU networks
RealMLP,Unknown,1,1,1,True,False,RealMLP
Reasoning primitives,Unknown,1,1,1,True,False,Reasoning primitives
Reconstruction objective,Unknown,1,1,1,True,False,Reconstruction objective
Rectilinear Steiner tree generation,Unknown,1,1,1,True,False,Rectilinear Steiner tree generation
Recurrent neural networks,Unknown,1,1,1,True,False,Recurrent neural networks
Recursive Value Function Search,Algorithm,1,2,2,True,False,RVFS | Recursive Value Function Search
Refusal direction extraction,Unknown,1,1,1,True,False,Refusal direction extraction
Reinforcement learning from human feedback,Technique,1,1,1,True,False,Reinforcement learning from human feedback
Relational match-to-sample,Unknown,1,2,2,True,False,Relational match-to-sample | relational match-to-sample
Residue number system,Unknown,1,1,1,True,False,Residue number system
Restricted isometry property on a tangent space,Unknown,1,1,1,True,False,Restricted isometry property on a tangent space
Retrieval augmented generation,Unknown,1,2,2,True,False,Retrieval augmented generation | retrieval augmented generation
Retriever-Aware Training,Technique,1,3,3,True,False,RAT | Retriever Aware Training | Retriever-Aware Training
Reward Machines,Unknown,1,1,1,True,False,Reward Machines
Ridge regression,Unknown,1,2,2,True,False,Ridge regression | ridge regression
Rotary Positional Embedding,Unknown,1,1,1,True,False,Rotary Positional Embedding
Rotary position embeddings,Unknown,1,1,1,True,False,Rotary position embeddings
Rule-based reasoning,Unknown,1,2,2,True,False,Rule-based reasoning | rule-based reasoning
SAFEOPT,Unknown,1,1,1,True,False,SAFEOPT
SIRIUS,Unknown,1,1,1,True,False,SIRIUS
SIRIUS correction mechanism,Unknown,1,1,1,True,False,SIRIUS correction mechanism
SMACv2,Unknown,1,1,1,True,False,SMACv2
SVRG-type variance reduction,Unknown,1,1,1,True,False,SVRG-type variance reduction
Scene description benchmark,Dataset,1,2,2,True,False,Scene description benchmark | scene description benchmark
Schur Nets,Unknown,1,1,1,True,False,Schur Nets
Self-attention,Architecture,1,1,1,True,False,Self-attention
Self-distillation,Unknown,1,1,1,True,False,Self-distillation
Self-instruct,Unknown,1,2,2,True,False,Self-instruct | self-instruct
Semantic consistency,Unknown,1,1,1,True,False,Semantic consistency
Sensory-cognitive models utilizing naturalistic stimuli,Unknown,1,1,1,True,False,Sensory-cognitive models utilizing naturalistic stimuli
Set-membership estimation,Unknown,1,2,2,True,False,Set-membership estimation | set-membership estimation
Sharpness-Aware Minimization,Unknown,1,1,1,True,False,Sharpness-Aware Minimization
Single-hidden-layer ReLU networks,Unknown,1,1,1,True,False,Single-hidden-layer ReLU networks
Singular value decomposition,Unknown,1,1,1,True,False,Singular value decomposition
Sinkhorn Value Iteration,Algorithm,1,1,1,True,False,Sinkhorn Value Iteration
Skill-Mix,Unknown,1,1,1,True,False,Skill-Mix
Skill-Mix evaluation,Unknown,1,1,1,True,False,Skill-Mix evaluation
Sklar's theorem,Unknown,1,1,1,True,False,Sklar's theorem
Smoothie,Unknown,1,1,1,True,False,Smoothie
Sparse expert selection,Unknown,1,1,1,True,False,Sparse expert selection
Spatial meaningfulness framework,Tool,1,1,1,True,False,Spatial meaningfulness framework
Spatio-temporal kernel,Unknown,1,2,2,True,False,Spatio-temporal kernel | spatio-temporal kernel
Spatiotemporal Sensitivity Module,Unknown,1,1,1,True,False,Spatiotemporal Sensitivity Module
Stable Diffusion,Model,1,1,1,True,False,Stable Diffusion
Stable Diffusion Ultra,Unknown,1,1,1,True,False,Stable Diffusion Ultra
Standard contract theory,Unknown,1,1,1,True,False,Standard contract theory
Stochastic Amortization with noisy labels,Unknown,1,1,1,True,False,Stochastic Amortization with noisy labels
Stochastic processes,Unknown,1,1,1,True,False,Stochastic processes
Strong meta-tuned default parameters,Unknown,1,1,1,True,False,Strong meta-tuned default parameters
Structured orthogonal parametrization,Unknown,1,2,2,True,False,Structured orthogonal parametrization | structured orthogonal parametrization
Sum-product networks,Unknown,1,1,1,True,False,Sum-product networks
Supervised fine-tuning,Unknown,1,1,1,True,False,Supervised fine-tuning
Supervised learning,Technique,1,2,2,True,False,Supervised learning | supervised learning
Supervised safety fine-tuning,Unknown,1,1,1,True,False,Supervised safety fine-tuning
SwiGLU,Unknown,1,1,1,True,False,SwiGLU
Synatra,Unknown,1,1,1,True,False,Synatra
Synthetic data generation framework,Tool,1,1,1,True,False,Synthetic data generation framework
TVSAFEOPT,Unknown,1,1,1,True,False,TVSAFEOPT
TabR,Unknown,1,1,1,True,False,TabR
Tangent Space Causal Inference,Unknown,1,2,2,True,False,TSCI | Tangent Space Causal Inference
Task-structured RL algorithms,Unknown,1,1,1,True,False,Task-structured RL algorithms
Temporal Activation Controller,Unknown,1,1,1,True,False,Temporal Activation Controller
Text-to-image diffusion models,Architecture,1,1,1,True,False,Text-to-image diffusion models
Theoretical analysis of gradient descent sample inefficiency,Unknown,1,1,1,True,False,Theoretical analysis of gradient descent sample inefficiency
Theoretical framework for tokenization under Markovian data,Tool,1,1,1,True,False,Theoretical framework for tokenization under Markovian data
Theory of pattern classes under discrete data streams,Unknown,1,1,1,True,False,Theory of pattern classes under discrete data streams
Tokenization,Unknown,1,2,2,True,False,Tokenization | tokenization
Tool-augmented Outcome Reward Model,Tool,1,1,1,True,False,Tool-augmented Outcome Reward Model
Trace,Unknown,1,1,1,True,False,Trace
Trace library,Tool,1,1,1,True,False,Trace library
Tractability conditions for compositional queries,Unknown,1,1,1,True,False,Tractability conditions for compositional queries
Two-agent speaker-listener game,Unknown,1,1,1,True,False,Two-agent speaker-listener game
